,source,target,spec2vec,matched_peaks,_merge,cosine
122,50,652,0.9878131782327402,0.0,right_only,0.0
123,50,586,0.9868929518315879,0.0,right_only,0.0
124,50,669,0.9857084730012151,0.0,right_only,0.0
125,50,198,0.9755523323169261,0.0,right_only,0.0
126,50,630,0.9766170341247173,0.0,right_only,0.0
127,50,631,0.9744762785924737,0.0,right_only,0.0
128,50,657,0.9824782305500255,0.0,right_only,0.0
129,50,668,0.9714951586829543,0.0,right_only,0.0
130,50,670,0.9768223595059936,0.0,right_only,0.0
131,50,673,0.9604138951908404,0.0,right_only,0.0
132,50,674,0.9662629898592996,0.0,right_only,0.0
133,50,675,0.9779947171996696,0.0,right_only,0.0
134,50,676,0.9679832737463359,0.0,right_only,0.0
135,570,648,0.0,7.0,left_only,0.9948946581357739
136,570,660,0.9613767936367812,0.0,right_only,0.0
137,570,665,0.978009942026626,0.0,right_only,0.0
138,570,662,0.9764598210463638,0.0,right_only,0.0
139,570,646,0.9676060740786134,0.0,right_only,0.0
140,570,658,0.9735391236040584,0.0,right_only,0.0
141,570,666,0.9646925821511579,0.0,right_only,0.0
142,570,189,0.961655086555526,0.0,right_only,0.0
143,570,675,0.9628067890483298,0.0,right_only,0.0
144,570,645,0.9618587196038209,0.0,right_only,0.0
145,645,648,0.9924361090709324,7.0,both,0.9991924587588124
146,645,660,0.9595161139391184,0.0,right_only,0.0
147,645,630,0.9750264184144926,0.0,right_only,0.0
148,645,665,0.9801572820764521,0.0,right_only,0.0
149,645,669,0.9817217178651132,0.0,right_only,0.0
150,645,677,0.9892541266078958,0.0,right_only,0.0
151,645,652,0.9845831752193335,0.0,right_only,0.0
152,645,198,0.9739664815982139,0.0,right_only,0.0
153,645,658,0.9704736848917233,0.0,right_only,0.0
154,645,631,0.9709983627340253,0.0,right_only,0.0
155,645,547,0.9975035975245636,0.0,right_only,0.0
156,645,656,0.9956829986750619,0.0,right_only,0.0
157,645,586,0.9823197032635873,0.0,right_only,0.0
158,645,189,0.9983127690579219,0.0,right_only,0.0
159,645,671,0.9968192666272999,0.0,right_only,0.0
160,648,673,0.9610084009161509,7.0,both,0.9958401006698042
161,648,630,0.9873708419669938,0.0,right_only,0.0
162,648,664,0.917834211241618,0.0,right_only,0.0
163,648,670,0.9811516502744216,0.0,right_only,0.0
164,648,677,0.9832825047085332,0.0,right_only,0.0
165,648,198,0.9666009255836212,0.0,right_only,0.0
166,648,672,0.9551738327732493,0.0,right_only,0.0
167,648,658,0.9674193529481154,0.0,right_only,0.0
168,648,631,0.9708894487535015,0.0,right_only,0.0
169,648,547,0.9914831413449312,0.0,right_only,0.0
170,648,656,0.9943063301054795,0.0,right_only,0.0
171,648,657,0.9811392429832377,0.0,right_only,0.0
172,648,674,0.9661066012474945,0.0,right_only,0.0
173,648,189,0.9905459157765187,0.0,right_only,0.0
174,648,671,0.9911636222307981,0.0,right_only,0.0
175,665,660,0.9833045504187352,0.0,right_only,0.0
176,665,653,0.9671683036118796,0.0,right_only,0.0
177,665,646,0.9825410258377564,0.0,right_only,0.0
178,665,658,0.9902614991577321,0.0,right_only,0.0
179,665,662,0.974860597233336,0.0,right_only,0.0
180,665,547,0.9772957535222921,0.0,right_only,0.0
181,665,656,0.9758174498682721,0.0,right_only,0.0
182,665,189,0.9752115555057244,0.0,right_only,0.0
183,665,666,0.9586370506401624,0.0,right_only,0.0
184,53,60,0.9615373345303309,33.0,both,0.9920961228957738
185,53,131,0.0,32.0,left_only,0.8140657761716749
186,53,313,0.0,19.0,left_only,0.8454008193328517
187,53,371,0.0,20.0,left_only,0.7447366983723469
188,60,131,0.0,33.0,left_only,0.8126565202546736
189,60,313,0.0,18.0,left_only,0.833913267053365
190,60,371,0.0,20.0,left_only,0.7467265761901174
191,131,313,0.0,18.0,left_only,0.7036713827901004
192,131,371,0.0,28.0,left_only,0.915574074116303
193,313,61,0.0,19.0,left_only,0.8764895880849825
194,58,99,0.0,19.0,left_only,0.7894836493192007
195,61,176,0.0,59.0,left_only,0.7748138184527428
196,61,417,0.0,30.0,left_only,0.7920935496278224
197,176,417,0.0,43.0,left_only,0.7074661619409248
198,64,186,0.0,15.0,left_only,0.9027347997684548
199,67,359,0.0,14.0,left_only,0.9795452629914797
200,359,185,0.0,9.0,left_only,0.7363488452549413
201,74,105,0.0,10.0,left_only,0.9787270449782886
202,74,164,0.0,12.0,left_only,0.9607907540877477
203,105,164,0.0,11.0,left_only,0.953258185768541
204,164,526,0.0,7.0,left_only,0.9065449696721394
205,164,581,0.0,8.0,left_only,0.8729764674685291
206,75,188,0.0,25.0,left_only,0.9350514716166679
207,79,106,0.0,9.0,left_only,0.7046852236496053
208,90,305,0.0,10.0,left_only,0.8068289669345763
209,98,230,0.0,16.0,left_only,0.9152422885057809
210,98,327,0.0,19.0,left_only,0.9619781036456608
211,98,337,0.0,17.0,left_only,0.8946266102998792
212,98,444,0.0,14.0,left_only,0.926784157680892
213,230,327,0.0,16.0,left_only,0.9451285696865955
214,230,337,0.0,17.0,left_only,0.8511493298458237
215,230,444,0.0,14.0,left_only,0.8605012962834684
216,327,337,0.0,15.0,left_only,0.8719863020581533
217,327,444,0.0,13.0,left_only,0.923083156345965
218,337,444,0.0,12.0,left_only,0.8469265423033789
219,102,334,0.0,19.0,left_only,0.9695230739612022
220,104,175,0.0,17.0,left_only,0.9574073048903301
221,104,616,0.0,8.0,left_only,0.7056858872737457
222,110,281,0.0,22.0,left_only,0.9654829844129051
223,281,294,0.0,12.0,left_only,0.7102307068365148
